GARDEN,GARDEN,GDN
,GARDN,
,GRDEN,
,GRDN,
GARDENS,GARDENS,GDNS
,GDNS,
,GRDNS,
GATEWAY,GATEWAY,GTWY
,GATEWY,
,GATWAY,
,GTWAY,
,GTWY,
GLEN,GLEN,GLN
,GLN,
GLENS,GLENS,GLNS
GREEN,GREEN,GRN
,GRN,
GREENS,GREENS,GRNS
GROVE,GROV,GRV
,GROVE,
,GRV,
GROVES,GROVES,GRVS
HARBOR,HARB,HBR
,HARBOR,
,HARBR,
,HBR,
,HRBOR,
HARBORS,HARBORS,HBRS
HAVEN,HAVEN,HVN
,HVN,
HEIGHTS,HT,HTS
,HTS,
HIGHWAY,HIGHWAY,HWY
,HIGHWY,
,HIWAY,
,HIWY,
,HWAY,
,HWY,
HILL,HILL,HL
,HL,
HILLS,HILLS,HLS
,HLS,
HOLLOW,HLLW,HOLW
,HOLLOW,
,HOLLOWS,
,HOLW,
,HOLWS,
INLET,INLT,INLT
ISLAND,IS,IS
,ISLAND,
,ISLND,
ISLANDS,ISLANDS,ISS
,ISLNDS,
,ISS,
ISLE,ISLE,ISLE
,ISLES,
JUNCTION,JCT,JCT
,JCTION,
,JCTN,
,JUNCTION,
,JUNCTN,
,JUNCTON,
JUNCTIONS,JCTNS,JCTS
,JCTS,
,JUNCTIONS,
KEY,KEY,KY
,KY,
KEYS,KEYS,KYS
,KYS,
KNOLL,KNL,KNL
,KNOL,
,KNOLL,
KNOLLS,KNLS,KNLS
,KNOLLS,
LAKE,LK,LK
,LAKE,
LAKES,LKS,LKS
,LAKES,
LAND,LAND,LAND
LANDING,LANDING,LNDG
,LNDG,
,LNDNG,
LANE,LANE,LN
,LN,
LIGHT,LGT,LGT
,LIGHT,
LIGHTS,LIGHTS,LGTS
LOAF,LF,LF
,LOAF,
LOCK,LCK,LCK
,LOCK,
LOCKS,LCKS,LCKS
,LOCKS,
LODGE,LDG,LDG
,LDGE,
,LODG,
,LODGE,
LOOP,LOOP,LOOP
,LOOPS,
MALL,MALL,MALL
MANOR,MNR,MNR
,MANOR,
MANORS,MANORS,MNRS
,MNRS,
MEADOW,MEADOW,MDW
MEADOWS,MDW,MDWS
,MDWS,
,MEADOWS,
,MEDOWS,
MEWS,MEWS,MEWS
MILL,MILL,ML
MILLS,MILLS,MLS
MISSION,MISSN,MSN
,MSSN,
MOTORWAY,MOTORWAY,MTWY
MOUNT,MNT,MT
,MT,
,MOUNT,
MOUNTAIN,MNTAIN,MTN
,MNTN,
,MOUNTAIN,
,MOUNTIN,
,MTIN,
,MTN,
MOUNTAINS,MNTNS,MTNS
,MOUNTAINS,
NECK,NCK,NCK
,NECK,
ORCHARD,ORCH,ORCH
,ORCHARD,
,ORCHRD,
OVAL,OVAL,OVAL
,OVL,
OVERPASS,OVERPASS,OPAS
PARK,PARK,PARK
,PRK,
PARKS,PARKS,PARK
PARKWAY,PARKWAY,PKWY
,PARKWY,
,PKWAY,
,PKWY,
,PKY,
PARKWAYS,PARKWAYS,PKWY
,PKWYS,
PASS,PASS,PASS
PASSAGE,PASSAGE,PSGE
PATH,PATH,PATH
,PATHS,
PIKE,PIKE,PIKE
,PIKES,
PINE,PINE,PNE
PINES,PINES,PNES
,PNES,
PLACE,PL,PL
PLAIN,PLAIN,PLN
,PLN,
PLAINS,PLAINS,PLNS
,PLNS,
PLAZA,PLAZA,PLZ
,PLZ,
,PLZA,
POINT,POINT,PT
,PT,
POINTS,POINTS,PTS
,PTS,
PORT,PORT,PRT
,PRT,
PORTS,PORTS,PRTS
,PRTS,
PRAIRIE,PR,PR
,PRAIRIE,
,PRR,
RADIAL,RAD,RADL
,RADIAL,
,RADIEL,
,RADL,
RAMP,RAMP,RAMP
RANCH,RANCH,RNCH
,RANCHES,
,RNCH,
,RNCHS,
RAPID,RAPID,RPD
,RPD,
RAPIDS,RAPIDS,RPDS
,RPDS,
REST,REST,RST
,RST,
RIDGE,RDG,RDG
,RDGE,
,RIDGE,
RIDGES,RDGS,RDGS
,RIDGES,
RIVER,RIV,RIV
,RIVER,
,RVR,
,RIVR,
ROAD,RD,RD
,ROAD,
ROADS,ROADS,RDS
,RDS,
ROUTE,ROUTE,RTE
ROW,ROW,ROW
RUE,RUE,RUE
RUN,RUN,RUN
SHOAL,SHL,SHL
,SHOAL,
SHOALS,SHLS,SHLS
,SHOALS,
SHORE,SHOAR,SHR
,SHORE,
,SHR,
SHORES,SHOARS,SHRS
,SHORES,
,SHRS,
SKYWAY,SKYWAY,SKWY
SPRING,SPG,SPG
,SPNG,
,SPRING,
,SPRNG,
SPRINGS,SPGS,SPGS
,SPNGS,
,SPRINGS,
,SPRNGS,
SPUR,SPUR,SPUR
SPURS,SPURS,SPUR
SQUARE,SQ,SQ
,SQR,
,SQRE,
,SQU,
,SQUARE,
SQUARES,SQRS,SQS
,SQUARES,
STATION,STA,STA
,STATION,
,STATN,
,STN,
STRAVENUE,STRA,STRA
,STRAV,
,STRAVEN,
,STRAVENUE,
,STRAVN,
,STRVN,
,STRVNUE,
STREAM,STREAM,STRM
,STREME,
,STRM,
STREET,STREET,ST
,STRT,
,ST,
,STR,
STREETS,STREETS,STS
SUMMIT,SMT,SMT
,SUMIT,
,SUMITT,
,SUMMIT,
TERRACE,TER,TER
,TERR,
,TERRACE,
THROUGHWAY,THROUGHWAY,TRWY
TRACE,TRACE,TRCE
,TRACES,
,TRCE,
TRACK,TRACK,TRAK
,TRACKS,
,TRAK,
,TRK,
,TRKS,
TRAFFICWAY,TRAFFICWAY,TRFY
TRAIL,TRAIL,TRL
,TRAILS,
,TRL,
,TRLS,
TRAILER,TRAILER,TRLR
,TRLR,
,TRLRS,
TUNNEL,TUNEL,TUNL
,TUNL,
,TUNLS,
,TUNNEL,
,TUNNELS,
,TUNNL,
TURNPIKE,TRNPK,TPKE
,TURNPIKE,
,TURNPK,
UNDERPASS,UNDERPASS,UPAS
UNION,UN,UN
,UNION,
UNIONS,UNIONS,UNS
VALLEY,VALLEY,VLY
,VALLY,
,VLLY,
,VLY,
VALLEYS,VALLEYS,VLYS
,VLYS,
VIADUCT,VDCT,VIA
,VIA,
,VIADCT,
,VIADUCT,
VIEW,VIEW,VW
,VW,
VIEWS,VIEWS,VWS
,VWS,
VILLAGE,VILL,VLG
,VILLAG,
,VILLAGE,
,VILLG,
,VILLIAGE,
,VLG,
VILLAGES,VILLAGES,VLGS
,VLGS,
VILLE,VILLE,VL
,VL,
VISTA,VIS,VIS
,VIST,
,VISTA,
,VST,
,VSTA,
WALK,WALK,WALK
WALKS,WALKS,WALK
WALL,WALL,WALL
WAY,WY,WAY
,WAY,
WAYS,WAYS,WAYS
WELL,WELL,WL
WELLS,WELLS,WLS
,WLS,
