DOI,Sample_ID,Subsample_ID,Location,Approximate_Lattitude,Approximate_Longitude,Source,Date,Concentration,Concentration_Units,Color_Transparent,Color_Blue,Color_Red,Color_Brown,Color_Green,Color_Orange,Color_White,Color_Yellow,Color_Pink,Color_Black,Color_Other,Material_PEST,Material_PE,Material_PP,Material_PA,Material_PE_PS,Material_PS,Material_CA,Material_PVC,Material_ER,Material_PAM,Material_PET,Material_PlasticAdditive,Material_PBT,Material_PU,Material_PET_PEST,Material_PAN,Material_Silicone,Material_Acrylic,Material_Vinyl,Material_Vinyon,Material_Other,Material_PA_ER,Material_PTT,Material_PE_PP,Material_PPS,Material_Rayon,Material_PAA,Material_PMPS,Material_PI,Material_Olefin,Material_Styrene_Butadiene,Material_PBA,Material_PMMA,Material_Cellophane,Material_SAN,Material_PC,Material_PDMS,Material_PLA,Material_PTFE,Material_SBR,Material_PET_Olefin,Material_PES,Material_ABS,Material_LDPE,Material_PEVA,Material_AR,Material_PVA,Material_PPE,Morphology_Fragment,Morphology_Fiber,Morphology_Nurdle,Morphology_Film,Morphology_Foam,Morphology_Sphere,Morphology_Line,Morphology_Bead,Morphology_Sheet,Morphology_Film_Fragment,Morphology_Rubbery_Fragment,Size_3000um,Size_2_5mm,Size_1_5mm,Size_1_2mm,Size_0.5_1mm,Size_less_than_0.5mm,Size_500um,Size_300_500um,Size_125_300um,Size_100_500um,Size_greater_than_100um,Size_50_150um,Size_50_100um,Size_50um,Size_45_125um,Size_greater_than_25um,Size_20um_5mm,Size_20_100um,Size_20_50um,Size_10_50um,Size_10_45um,Size_10_20um,Size_greater_than_10um,Size_8_316um,Size_5_100um,Size_5_10um,Size_4_10um,Size_1.5_5um,Size_less_than_1.5um,Size_1_100um,Size_1_50um,Size_1_10um,Size_1_5um,Size_110_124nm,Size_0_20um
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,,"Chennai, India",13.0836939,80.270186,bottled water,,174,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,,"Chennai, India",13.0836939,80.270186,bottled water,,826,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,,"Mumbai, India",19.0785451,72.878176,bottled water,,213,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,,"New Delhi, India",28.6138954,77.2090057,bottled water,,3.72,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,,,,,bottled water,,165,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,,"Nairobi, Kenya",-1.2832533,36.8172449,bottled water,,74.6,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,,"Mexico City, Mexico",19.4326296,-99.1331785,bottled water,11/17/2018,686,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,,"Tijuana, Mexico",32.5317397,-117.0195295,bottled water,10/14/2018,20,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,,"Reynosa, Mexico",26.0704018,-98.2963932,bottled water,8/9/2018,37.3,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,,,,,bottled water,,197,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,,"Fredonia, NY, USA",42.440058,-79.331711,bottled water,,58.2,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,,"Fredonia, NY, USA",42.440058,-79.331711,bottled water,,1410,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,,,,,bottled water,,204,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,,"Sao Paulo, Brazil",-23.5506507,-46.6333824,bottled water,,40.1,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,,"Aparecida de Goiania, Brazil",-16.8226769,-49.2452546,bottled water,,12.5,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,,"Rio de Janerio, Brazil",,,bottled water,,150,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,,,33.8959203,35.47843,bottled water,,2277,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,,"Beirut, Lebanon",13.7524938,100.4935089,bottled water,,49.3,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,,"Bangkok, Thailand",,,bottled water,,468,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,,,36.6507007,117.1140042,bottled water,,30.3,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,,"Jinan, China",39.906217,116.3912757,bottled water,,156,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,20171021 3214GH|10.3389/fchem.2018.00407,,"Beijing, China",36.0638034,120.3781372,bottled water,,66.7,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3389/fchem.2018.00407,20171103 2106WF|10.3389/fchem.2018.00407,,"Qingdao, China",23.135305,-82.3589631,bottled water,,67.1,particles/L,,,,,,,,,,,,0.06,0.1,0.54,0.16,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.13,0.03,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Cuba|10.1371/journal.pone.0194970,,"Havana, Cuba",-0.2201641,-78.5123274,tap water,,7.17,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Ecuador|10.1371/journal.pone.0194970,,"Quito, Ecuador",51.5073219,-0.1276474,tap water,,4.02,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_England|10.1371/journal.pone.0194970,,"London, England",48.8588897,2.320041022,tap water,,7.73,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_France|10.1371/journal.pone.0194970,,"Paris, France",53.3498006,-6.2602964,tap water,,1.82,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Germany|10.1371/journal.pone.0194970,,"Berlin, Germany; Tubingen, Germany",45.03685465,9.137825083,tap water,,0.91,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_India|10.1371/journal.pone.0194970,,"Ner Delhi, India",0.3175899,32.5944408,tap water,,6.24,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Indonesia|10.1371/journal.pone.0194970,,"Depok City, Indonesia; Desa Puspanegara, Indonesia; Jakarta, Indonesia; Jatirahayu, Indonesia; Kedaung, Indonesia; Menteng, Indonesia; North Paninggilan, Indonesia; Pasireurih, Indonesia; South Tangerang City, Indonesia; Sukatani, Indonesia; Teluknaga, Indonesia; Warnasari, Indonesia",39.7837304,-100.445882,tap water,,3.23,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Ireland|10.1371/journal.pone.0194970,,"Dublin, Ireland",47.7144587,-88.2115407,tap water,,1.83,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Italy|10.1371/journal.pone.0194970,,"Pavia, Italy",47.7144587,-88.2115407,tap water,,0,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Lebanon|10.1371/journal.pone.0194970,,"Beirut, Lebanon; Burj el Brajneh, Lebanon; Choueifat, Lebanon; Ghobayreh, Lebanon; Khaldeh, Lebanon; Mreijeh, Lebanon",47.7144587,-88.2115407,tap water,,6.64,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Slovakia|10.1371/journal.pone.0194970,,"Brezova pod Bradlom, Slovakia; Kocvce, Slovakia; Piestany, Slovakia; Poprad, Slovakia; Prasnik, Slovakia; Radosina, Slovakia; Ruzomberok, Slovakia",43.85544805,-87.08197545,tap water,,3.83,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Switzerland|10.1371/journal.pone.0194970,,"Davos Platz, Switzerland; Gerbertingen, Switzerland",43.85544805,-87.08197545,tap water,,2.74,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_Uganda|10.1371/journal.pone.0194970,,"Jinja, Uganda; Kampala, Uganda",43.85544805,-87.08197545,tap water,,3.92,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Tap Water_USA|10.1371/journal.pone.0194970,,"Alpena, USA; Buffalo, USA; Chicago, USA; Clayton, USA; Duluth, USA; Glenview, USA; Holland, USA; Lawrence, USA; Los Angeles, USA; Louisville, USA; Mahopack, USA; Middle Village, USA; New York City, USA; Overland Park, USA; Palmetto Bay, USA; Pinebluff, USA; Spring, USA; Washington DC, USA; Wauwatosa, USA",43.85544805,-87.08197545,tap water,,9.24,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Bottled Water|10.1371/journal.pone.0194970,,USA,44.65030755,-82.28186818,bottled water,,3.57,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Superior 1|10.1371/journal.pone.0194970,,Lake Superior,42.1432332,-81.23963265,bottled water,,0.67,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Superior 2|10.1371/journal.pone.0194970,,Lake Superior,42.1432332,-81.23963265,bottled water,,4.33,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Superior 3|10.1371/journal.pone.0194970,,Lake Superior,43.72634945,-77.7101179,bottled water,,3.33,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Michigan 1|10.1371/journal.pone.0194970,,Lake Michigan,43.72634945,-77.7101179,bottled water,,1.33,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Michigan 2|10.1371/journal.pone.0194970,,Lake Michigan,50.7838206,4.675492,bottled water,,0,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Michigan 3|10.1371/journal.pone.0194970,,Lake Michigan,50.7838206,4.675492,bottled water,,14.3,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Michigan 4|10.1371/journal.pone.0194970,,Lake Michigan,50.7838206,4.675492,bottled water,,2.33,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Huron 1|10.1371/journal.pone.0194970,,Lake Huron,50.7838206,4.675492,bottled water,,1.33,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Erie 1|10.1371/journal.pone.0194970,,Lake Erie,52.5865849,8.1268531,bottled water,,2,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Erie 2|10.1371/journal.pone.0194970,,Lake Erie,52.5865849,8.1268531,bottled water,,3,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0194970,Lake Ontario 1|10.1371/journal.pone.0194970,,Lake Ontario,52.5865849,8.1268531,bottled water,,8,particles/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
