X,Y,OBJECTID,Internal_ID,State_ID,Dam_Name,National_ID,Latitude,Longitude,County,Owner_Name,Owner_Type,Dam_Type,Year_Built,Dam_Height_feet,Dam_Length_feet,Capacity_acre_feet,Jurisdictional_Status,Downstream_Hazard,Condition_Assessment,Restricted,Date_Data_Applies,Data_Source,Record_Last_Edited,Record_Last_Edited_By,Comment_
-13437709.6921,4831648.5084,11,50,No. 1-42,Eureka,CA00031,39.7636,-120.713,Plumas,California Department of Parks and Recreation,State agency,ERTH,1866,29,410,220,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13379600.9179,4850405.4921,12,51,No. 1-43,Frenchman,CA00032,39.893,-120.191,Plumas,California Department of Water Resources,State agency,ERTH,1961,139,720,55477,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13538431.5674,4548886.608,13,53,No. 1-45,Bethany Forebay,CA00033,37.7835,-121.6178,Alameda,California Department of Water Resources,State agency,ERTH,1961,95,695,5000,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13530694.8628,4796490.9254,14,54,No. 1-47,Feather River Hatchery,CA00034,39.5204,-121.5483,Butte,California Department of Water Resources,State agency,GRAV,1964,63,600,580,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13524371.9157,4799695.0919,15,55,No. 1-48,Oroville,CA00035,39.5426,-121.4915,Butte,California Department of Water Resources,State agency,ERTH,1968,770,6920,3553405,Certified,Extremely High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13530494.4877,4797717.6249,16,56,No. 1-49,Thermalito Diversion,CA00036,39.5289,-121.5465,Butte,California Department of Water Resources,State agency,GRAV,1967,128,1300,13328,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13425976.6178,4892250.5317,17,57,No. 1-50,Antelope,CA00037,40.1808,-120.6076,Plumas,California Department of Water Resources,State agency,ERTH,1964,113,1320,22566,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13427657.5421,4810296.3518,18,58,No. 1-51,Lower Sardine Lake,CA00038,39.616,-120.6227,Sierra,California Department of Fish and Wildlife,State agency,ERRK,1965,17,162,280,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13411449.4243,4848911.1757,19,59,No. 1-52,Grizzly Valley,CA00039,39.8827,-120.4771,Plumas,California Department of Water Resources,State agency,ERRK,1966,115,800,83000,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13539900.9847,4795726.1182,20,61,No. 1-54,Thermalito Forebay,CA00041,39.5151,-121.631,Butte,California Department of Water Resources,State agency,ERTH,1967,75,15900,15568,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13545778.6538,4794817.0837,21,62,No. 1-55,Thermalito Afterbay,CA00042,39.5088,-121.6838,Butte,California Department of Water Resources,State agency,ERTH,1967,38,42000,89541,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13552591.4066,4525278.4573,22,63,No. 1-56,Del Valle,CA00043,37.6157,-121.745,Alameda,California Department of Water Resources,State agency,ERTH,1968,222,880,77100,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13204005.5532,4099043.5444,23,64,No. 1-58,Castaic,CA00044,34.5215,-118.6136,Los Angeles,California Department of Water Resources,State agency,ERTH,1973,340,5200,323700,Certified,Extremely High,Poor,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13545756.3899,4536921.0929,24,67,No. 1-62,Patterson,CA00048,37.6985,-121.6836,Alameda,California Department of Water Resources,State agency,ERTH,1962,39,1275,104,Certified,High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13059078.7081,4069708.6849,25,68,No. 1-63,Cedar Springs,CA00049,34.3041,-117.3117,San Bernardino,California Department of Water Resources,State agency,ERRK,1971,236,2235,78000,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13534936.1354,4554169.8856,26,69,No. 1-64,Clifton Court Forebay,CA00050,37.821,-121.5864,Contra Costa,California Department of Water Resources,State agency,ERTH,1970,34,39000,29000,Certified,Low,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13600113.6972,4456879.6129,27,70,No. 1-65,Oak Site,CA00051,37.1274,-122.1719,Santa Cruz,California Department of Forestry and Fire Protection,State agency,ERTH,1969,43,290,20,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13220948.3797,4115593.2612,28,71,No. 1-66,Pyramid,CA00052,34.6439,-118.7658,Los Angeles,California Department of Water Resources,State agency,ERRK,1973,386,1080,171196,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13201701.2397,4041350.2697,29,72,No. 1-67,J. W. Wisda,CA00053,34.0934,-118.5929,Los Angeles,California Department of Parks and Recreation,State agency,ERTH,1958,50,350,45,Certified/Inop,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13046399.4181,4010461.2924,30,73,No. 1-68,Perris,CA00054,33.8633,-117.1978,Riverside,California Department of Water Resources,State agency,ERTH,1973,130,11600,131452,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13617861.3637,4509031.3931,31,74,No. 1-69,Canada Road,CA00055,37.5,-122.33133,San Mateo,California Department of Transportation,State agency,ERTH,1971,52,1300,74,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13651598.9617,4639937.66,32,75,No. 1-70,Annadel No. 1,CA00056,38.4271,-122.6344,Sonoma,California Department of Parks and Recreation,State agency,ERTH,1956,67,400,395,Certified,Extremely High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13217341.6282,4042035.8504,33,76,No. 1-71,Century,CA00740,34.0985,-118.7334,Los Angeles,California Department of Parks and Recreation,State agency,CORA,1913,44,149,70,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13434937.8368,4209759.2834,34,77,No. 1-72,Chorro Creek,CA01076,35.3369,-120.6881,San Luis Obispo,California Department of Corrections and Rehabilitation,State agency,ERTH,1941,77,500,90,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13498768.4328,4909984.0233,35,80,No. 1-75,Chester Diversion,CA01173,40.3024,-121.2615,Plumas,Central Valley Flood Protection Board,State agency,ERTH,1975,47,1165,75,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13517280.8641,4458401.5957,36,81,No. 1-77,Coit,CA01011,37.1383,-121.4278,Santa Clara,California Department of Parks and Recreation,State agency,ERTH,1956,54,400,275,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13517403.3156,4456195.4902,37,82,No. 1-78,Kelly Cabin Can,CA01012,37.1225,-121.4289,Santa Clara,California Department of Parks and Recreation,State agency,ERTH,1955,32,300,70,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13516334.6485,4466629.6853,38,83,No. 1-79,Murry,CA01013,37.1972,-121.4193,Santa Clara,California Department of Parks and Recreation,State agency,ERTH,1957,54,350,715,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13463758.453,4633261.2268,39,85,No. 1-81,CSP Mule Creek,CA01195,38.3801,-120.947,Amador,California Department of Corrections and Rehabilitation,State agency,ERTH,1988,51,2300,535,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13321024.6019,4672415.8429,40,87,No. 1-83,Heenan Lake,CA00641,38.6553,-119.6648,Alpine,California Department of Fish and Wildlife,State agency,ERTH,1929,39,600,3100,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13544576.4033,4675680.7492,41,88,No. 1-84,Cache Creek Settling Basin,CA01348,38.6782,-121.673,Yolo,Central Valley Flood Protection Board,State agency,ERTH,1993,29,40083,3800,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13635658.0107,5116772.511,42,89,No. 1-85,Bass Lake,CA00498,41.7042,-122.4912,Siskiyou,California Department of Fish and Wildlife,State agency,ERTH,1949,18,1110,1083,Certified,Low,Poor,Yes,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13633253.5097,5114804.5398,43,90,No. 1-86,Steamboat Lake,CA00499,41.691,-122.4696,Siskiyou,California Department of Fish and Wildlife,State agency,ERTH,1968,22,655,2700,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13634789.7186,5114431.8635,44,91,No. 1-87,Trout Lake,CA00500,41.6885,-122.4834,Siskiyou,California Department of Fish and Wildlife,State agency,ERTH,1960,40,650,2108,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13063008.2861,4056213.785,45,92,No. 1-88,Devil Canyon,CA01364,34.2039,-117.347,San Bernardino,California Department of Water Resources,State agency,ERTH,1995,77,370,980,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13354843.4632,4678604.3681,46,94,No. 1-90,Red Lake,CA00631,38.6987,-119.9686,Alpine,California Department of Fish and Wildlife,State agency,ERTH,1924,35,1920,1410,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13029812.814,4037519.8431,47,95,No. 1-91,Crafton Hills,CA01437,34.0649,-117.0488,San Bernardino,California Department of Water Resources,State agency,ERTH,2001,95,496,130,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13406595.8945,4564039.1912,48,96,No. 1-92,Gardella,CA01499,37.891,-120.4335,Tuolumne,California Department of Corrections and Rehabilitation,State agency,ERTH,2009,69,980,370,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13544687.7228,4545548.959,49,97,No. 1-93,Dyer,CA01491,37.7598,-121.674,Alameda,California Department of Water Resources,State agency,ERTH,2011,30,1850,525,Certified,High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13559715.854,4576304.2943,50,99,No. 3-0,Antioch Reservoir,CA00057,37.9779,-121.809,Contra Costa,City of Antioch,"City, city agency, or city district",ERTH,1935,30,450,722,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13168917.6497,4054921.7032,51,103,No. 4-6,Reservoir No. 4,CA00059,34.1943,-118.2984,Los Angeles,City of Burbank,"City, city agency, or city district",RECT,1955,38,210,34,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13172614.4586,4057147.5402,52,104,No. 4-7,Reservoir No. 5,CA00060,34.210837,-118.331609,Los Angeles,City of Burbank,"City, city agency, or city district",RECT,1949,36,870,77,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13166312.7736,4053683.5962,53,105,No. 5-0,Brand Park,CA00061,34.1851,-118.275,Los Angeles,City of Glendale,"City, city agency, or city district",ERTH,1930,99,230,32,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13163585.446,4051517.2339,54,110,No. 5-6,Diederich Reservoir,CA00064,34.169,-118.2505,Los Angeles,City of Glendale,"City, city agency, or city district",ERTH,1950,60,100,174,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13159388.7012,4049485.8037,55,111,No. 5-7,Glenoaks 968 Reservoir,CA00065,34.1539,-118.2128,Los Angeles,City of Glendale,"City, city agency, or city district",ERTH,1949,62,220,28,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13159555.6805,4052378.3471,56,112,No. 5-8,Chevy Chase 1290 Reservoir,CA01078,34.1754,-118.2143,Los Angeles,City of Glendale,"City, city agency, or city district",ERTH,1940,90,300,17,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13160958.3061,4054221.887,57,113,No. 5-9,East Glorietta,CA01079,34.1891,-118.2269,Los Angeles,City of Glendale,"City, city agency, or city district",RECT,1932,22,1730,71,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13206076.0957,4059431.1695,58,117,No. 6-4,Chatsworth,CA00067,34.2278,-118.6322,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1918,45,2700,9886,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13194621.3201,4093613.4065,59,118,No. 6-5,Dry Canyon,CA00068,34.4813,-118.5293,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1912,66,780,1140,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13161303.3965,4039266.8953,60,119,No. 6-6,Elysian,CA00069,34.0779,-118.23,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1943,71,480,167,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13192584.1734,4048719.0669,61,120,No. 6-7,Encino,CA00070,34.1482,-118.511,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1924,168,1850,9789,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13183277.864,4123850.1964,62,121,No. 6-8,Fairmont,CA00071,34.7049,-118.4274,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1912,121,4300,7507,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13189767.7903,4456474.7186,63,124,No. 6-11,Big Pine Creek,CA00072,37.1245,-118.4857,Inyo,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ROCK,,14,50,1071,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13181563.5438,4041525.0216,64,127,No. 6-14,Lower Franklin,CA00075,34.0947,-118.412,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1922,103,500,920,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13189266.8526,4067175.4823,65,128,No. 6-15,Lower San Fernando,CA00076,34.2853,-118.4812,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1918,125,1840,9843,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13193964.5351,4100219.0684,66,129,No. 6-16,Drinkwater,CA00077,34.5302,-118.5234,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1923,105,448,92,Certified,Significant,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13172702.5123,4044644.1234,67,130,No. 6-17,Mulholland,CA00078,34.1179,-118.3324,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",GRAV,1924,195,933,4036,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13130479.0295,4319571.4754,68,137,No. 6-24,Haiwee,CA00082,36.1376,-117.9531,Inyo,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1913,81,1555,60600,Certified,High,Fair,Yes,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13186361.4139,4043138.2434,69,138,No. 6-25,Stone Canyon,CA00083,34.1067,-118.4551,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1924,188,1150,10372,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13161091.8895,4446887.4443,70,139,No. 6-26,Tinemaha,CA00084,37.0558,-118.2281,Inyo,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1928,32,5800,16405,Certified,High,Poor,Yes,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13190647.2143,4069533.4984,71,140,No. 6-28,Upper San Fernando,CA00086,34.3028,-118.4936,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",HYDF,1921,82,1740,1848,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13173014.2069,4045558.5051,72,141,No. 6-29,Upper Hollywood,CA00087,34.1247,-118.3352,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1933,87,368,196,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13178736.0287,4106733.9679,73,143,No. 6-31,Bouquet Canyon,CA00088,34.5784,-118.3866,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1934,190,1180,36505,Certified,Extremely High,Fair,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13258440.7842,4559963.4419,74,145,No. 6-33,Grant Lake,CA00089,37.8621,-119.1026,Mono,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1940,87,700,47525,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13214336.0019,4521274.0286,75,146,No. 6-34,Long Valley,CA00090,37.5872,-118.7064,Mono,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1941,126,595,183465,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13264685.8076,4562135.0955,76,147,No. 6-35,Walker Lake,CA00091,37.8775,-119.1587,Mono,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,,12,310,540,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13190090.6168,4068388.1149,77,150,No. 6-39,Channel Diversion Dike,CA00093,34.2943,-118.4886,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1940,42,390,437,Certified/Inop,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13156973.0683,4048463.4994,78,152,No. 6-41,Eagle Rock,CA00094,34.1463,-118.1911,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1953,113,495,254,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13201356.1493,4515473.8393,79,153,No. 6-42,Upper Gorge,CA00095,37.5459,-118.5898,Mono,City of Los Angeles Department of Water And Power,"City, city agency, or city district",GRAV,1953,44,37,26,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13173047.6028,4063430.6145,80,154,No. 6-43,Green Verdugo,CA00096,34.2575,-118.3355,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1953,118,452,99,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13186439.3375,4044792.0331,81,155,No. 6-44,Upper Stone Canyon,CA00097,34.119,-118.4558,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1954,111,740,425,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13194142.6463,4496985.2451,82,156,No. 6-45,Pleasant Valley,CA00098,37.4141,-118.525,Inyo,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1957,87,530,3825,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13189834.582,4069897.3504,83,157,No. 6-46,Yarnell Debris Basin,CA00099,34.3055,-118.4863,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1963,42,1290,77.5,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13198862.5927,4038541.1642,84,158,No. 6-47,Santa Ynez Canyon,CA00100,34.0725,-118.5674,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1968,157,455,356,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13189689.8666,4067970.4157,85,159,No. 6-48,Lower Van Norman Bypass,CA00101,34.2912,-118.485,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1970,78,600,240,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13206354.3944,4104435.7508,86,160,No. 6-49,Elderberry Forebay,CA01080,34.5614,-118.6347,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1974,179,1935,33004,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13189534.0194,4068280.3201,87,161,No. 6-50,Los Angeles Reservoir,CA01081,34.2935,-118.4836,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1977,130,3415,10000,Certified,High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13165388.8218,4041336.8273,88,162,No. 6-51,Silver Lake,CA00081,34.0933,-118.2667,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1976,43,760,2020,Certified,Extremely High,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13181685.9953,4042277.83,89,163,No. 6-52,Lower Franklin No. 2,CA01188,34.1003,-118.4131,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1982,49,410,206,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13184034.8365,4124594.9732,90,164,No. 6-53,Fairmont No. 2,CA01295,34.7104,-118.4342,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1982,24,4437,493,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
-13178869.6121,4065154.7163,91,165,No. 6-54,Hansen Recreational Lake,CA01448,34.2703,-118.3878,Los Angeles,City of Los Angeles Department of Water And Power,"City, city agency, or city district",ERTH,1999,50,3600,85,Certified,Low,Satisfactory,No,2023/10/03 00:00:00+00,DSOD,2023/10/03 00:00:00+00,DSOD,
