_id,Water System No,Water System Name,Principal County Served,Federal Water System Type -CODE,Federal Water System Type,State Water System Type -CODE,State Water System Type,Water System Status -CODE,Water System Status,Owner Type -CODE,Owner Type,Primary Water Source Type -CODE,Primary Water Source Type,Residential Population,Non Transient Population,Transient Population,Total Population,Number of Service Connections Agricultural,Number of COMBINED Service Connections (CB),Number of Commercial (CM) Service Connections,Numer of Institutional Service Conections,Number of Residential Service Connections,Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class-CODE,Treatment Plant Class,Distribution System Class-CODE,Distribution System Class
11,CA5000082,4N MOBILEHOME PARK,STANISLAUS,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,65,,,65,,31,,,,31,SC   ,Small Community,7/18/2014,OAKDALE,,#N/A,D1   ,Distribution Operator Level 1
12,CA5000573,5033 PENTECOST,STANISLAUS,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,302,,302,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,6/21/2017,MODESTO,,#N/A,D1   ,Distribution Operator Level 1
13,CA1502744,60TH STREET ASSOC. WATER SYSTEM,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,44,,,44,,0,,,9,9,SC   ,Small Community,2/14/2018,ROSAMOND,,#N/A,D1   ,Distribution Operator Level 1
14,CA3400358,"6200 FRANKLIN, LLC  (SWS)",SACRAMENTO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,800,,800,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,11/29/2017,SACRAMENTO,,#N/A,,#N/A
15,CA5800826,7 LAKES RESORT,YUBA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,60,60,,57,,,,57,N1   ,Transient-Noncommunity Water System,6/17/2013,CLIPPER MILLS,,#N/A,D1   ,Distribution Operator Level 1
16,CA5800826,7 LAKES RESORT,YUBA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,60,60,,57,,,,57,SC   ,Small Community,6/17/2013,CLIPPER MILLS,,#N/A,D1   ,Distribution Operator Level 1
17,CA3400204,7042 FOLSOM LLC WATER SYSTEM,SACRAMENTO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,1,,,,1,,#N/A,1/11/2016,SACRAMENTO,,#N/A,,#N/A
18,CA2400222,9-IRON WATER SYSTEM,MERCED,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,90,90,,1,,,,1,N1   ,Transient-Noncommunity Water System,7/29/2015,MERCED,,#N/A,NR   ,Not Required
19,CA4400720,948 BROWNS VALLEY ROAD (SSWS),SANTA CRUZ,NP,Non-Public,LSS ,Local State Small Systems,A,ACTIVE,P,Private,GW ,Groundwater,,,17,17,,5,,,,5,,#N/A,5/3/2000,CORRALITOS,,#N/A,NR   ,Not Required
20,CA5400679,99 PALMS INN AND SUITES,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,60,60,,4,,,,4,N1   ,Transient-Noncommunity Water System,3/3/2017,TULARE,,#N/A,NR   ,Not Required
21,CA5400504,A & A  MHP,TULARE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,200,,,200,,62,,,,62,SC   ,Small Community,7/21/2015,PORTERVILLE,,#N/A,D1   ,Distribution Operator Level 1
22,CA0900586,A & A LAKE TAHOE INN,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,2,,,,2,N1   ,Transient-Noncommunity Water System,3/16/2017,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
23,CA5000384,A & M INDUSTRIES INC,STANISLAUS,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,142,,142,,25,,,,25,SP   ,NonTransient-NonCommunity Water System,12/1/2015,MODESTO,,#N/A,D1   ,Distribution Operator Level 1
24,CA3902172,A SAMBADO & SON 39-321,SAN JOAQUIN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,1,,,,1,     ,#N/A,4/27/2016,LINDEN,,#N/A,D1   ,Distribution Operator Level 1
25,CA2400232,"A V THOMAS PRODUCE, INC.",MERCED,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,6,206,,212,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,1/15/2015,ATWATER,,#N/A,D1   ,Distribution Operator Level 1
26,CA1200776,A W WAY - HUMBOLDT CO. PARKS,HUMBOLDT,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,300,300,,1,,,,1,N1   ,Transient-Noncommunity Water System,5/23/2018,EUREKA,,#N/A,NR   ,Not Required
27,CA1500466,A.F.P. MUTUAL WATER COMPANY,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,588,,,588,,,,,210,210,SC   ,Small Community,10/2/2015,TEHACHAPI,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
28,CA3900606,A1 WINSTONS MOBILE HOME PARK,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,30,,,,30,SC   ,Small Community,2/2/2015,STOCKTON,,#N/A,D1   ,Distribution Operator Level 1
29,CA4200969,AAA KINDNESS CARE HOME,SANTA BARBARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,30,,,30,,2,,,,2,,#N/A,,,,#N/A,,#N/A
30,CA5200559,ABBEY OF NEW CLAIRVAUX,TEHAMA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,30,,,30,,15,,,,15,SC   ,Small Community,11/9/2016,VINA,,#N/A,D1   ,Distribution Operator Level 1
31,CA1400020,ABERDEEN WATER SYSTEM,INYO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,23,,,23,,75,,,,75,SC   ,Small Community,6/9/2010,INDEPENDENCE,,#N/A,D1   ,Distribution Operator Level 1
32,CA4300792,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,SANTA CLARA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,45,,,45,,,,,17,17,SC   ,Small Community,10/20/2016,SAN JOSE,,#N/A,D1   ,Distribution Operator Level 1
33,CA4700542,ABRAMS LAKE MOBILE ESTATES,SISKIYOU,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,135,,,135,,54,,,,54,DAVCS,Disadvantaged Small Community Water System,9/22/2016,MT. SHASTA,,#N/A,D1   ,Distribution Operator Level 1
34,CA3901303,ACAMPO WATER SYSTEM,SAN JOAQUIN,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,150,,,150,,61,,,,61,SC   ,Small Community,2/27/2015,ACAMPO,,#N/A,D1   ,Distribution Operator Level 1
35,CA5400538,ACCELERATED CHARTER HIGH SCHOOL,TULARE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,170,,170,,10,,,,10,SP   ,NonTransient-NonCommunity Water System,10/18/2016,TULARE,,#N/A,D1   ,Distribution Operator Level 1
36,CA3600615,ACE MOTEL,SAN BERNARDINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,25,25,,1,,,,1,N1   ,Transient-Noncommunity Water System,7/20/2016,LUCERNE VALLEY,,#N/A,,#N/A
37,CA3302077,ACEVES RANCH,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,24,,24,,10,,,,10,XS   ,State Small Water System,,THERMAL,,#N/A,,#N/A
38,CA5301013,ACKERMAN CAMPGROUND,TRINITY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,F,Federal Government,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/17/2013,LEWISTON,,#N/A,NR   ,Not Required
39,CA3400352,ACORN MOBILE VILLAGE,SACRAMENTO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,100,,,100,,56,,,,56,,#N/A,5/4/2018,SACRAMENTO,,#N/A,,#N/A
40,CA1900904,ACTON CONSERVATION CAMP #11,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GU ,Groundwater UDI Surface Water,,80,,80,,,10,,,10,SP   ,NonTransient-NonCommunity Water System,11/4/2014,,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
41,CA1900894,ACTON FOUR SQUARE CHURCH,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,1,,,,1,N1   ,Transient-Noncommunity Water System,9/14/2016,ACTON,,#N/A,D1   ,Distribution Operator Level 1
42,CA1900092,ACTON LA NORTH KOA,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,400,400,,92,,,,92,N1   ,Transient-Noncommunity Water System,11/22/2017,,,#N/A,D1   ,Distribution Operator Level 1
43,CA1907004,ACTON-AGUA DULCE LDS CHURCH,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,150,150,,1,,,,1,N1   ,Transient-Noncommunity Water System,10/18/2016,,,#N/A,D1   ,Distribution Operator Level 1
44,CA0605012,ADAM'S VEGETABLE OILS,COLUSA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,90,,90,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,7/28/2017,ARBUCKLE,,#N/A,D1   ,Distribution Operator Level 1
45,CA1700501,ADAMS SPRINGS WATER DISTRICT,LAKE,C,Community,C   ,Community,A,ACTIVE,L,Local,GWP,Groundwater Purchased,99,,,99,,,,,77,77,DAVCS,Disadvantaged Small Community Water System,10/3/2017,COBB,,#N/A,D1   ,Distribution Operator Level 1
46,CA4000740,ADELAIDE ESTATES,SAN LUIS OBISPO,NP,Non-Public,NP  ,Non-Public,A,ACTIVE, ,#N/A,GW ,Groundwater,,,15,15,,5,,,,5,,#N/A,,PASO ROBLES,,#N/A,,#N/A
47,CA3610001,"ADELANTO, CITY OF",SAN BERNARDINO,C,Community,C   ,Community,A,ACTIVE,L,Local,GW ,Groundwater,31765,,,143414,8,,34,75,8013,8130,C1   ,Large Water System,3/23/2017,ADELANTO,T2   ,Treatment Operator Level 2,D3   ,Distribution Operator Level 3
48,CA3400429,ADESA OF SACRAMENTO,SACRAMENTO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,320,,320,,8,,,,8,SP   ,NonTransient-NonCommunity Water System,2/17/2016,SACRAMENTO,,#N/A,,#N/A
49,CA0605004,ADM RICE INC.,COLUSA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,9/22/2017,ARBUCKLE,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
50,CA4901214,ADOBE CHRISTIAN CHURCH,SONOMA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,50,,50,,2,,,,2,SP   ,NonTransient-NonCommunity Water System,4/17/2013,PETALUMA,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
51,CA2701187,AERA ENERGY LLC WS,MONTEREY,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,75,,75,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,7/10/2014,SAN ARDO,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
52,CA1500495,AERA ENERGY-LLC,KERN,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,350,1150,1500,,21,,,,21,SP   ,NonTransient-NonCommunity Water System,12/15/2017,BUTTONWILLOW,,#N/A,D1   ,Distribution Operator Level 1
53,CA1500405,"AERIAL ACRES WATER COMPANY, INC.",KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,178,,,178,,0,,,53,53,SC   ,Small Community,9/29/2015,NORTH EDWARDS,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
54,CA3600797,AERONAUTICAL SYSTEMS,SAN BERNARDINO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,1,,,,1,SP   ,NonTransient-NonCommunity Water System,2/23/2017,ADELANTO,,#N/A,,#N/A
55,CA5800807,AEROPINES,YUBA,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,45,,,45,,21,,,,21,SC   ,Small Community,3/16/2018,BROWNSVILLE,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
56,CA2800569,AETNA SPRINGS GOLF COURSE,NAPA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,100,,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,3/22/2016,POPE VALLEY,,#N/A,D1   ,Distribution Operator Level 1
57,CA1100709,AFTON STORE,GLENN,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,32,32,,1,,,,1,N1   ,Transient-Noncommunity Water System,6/16/2015,BUTTE CITY,,#N/A,NR   ,Not Required
58,CA4000744,AFUERA DE CHORRO WATER COMPANY,SAN LUIS OBISPO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,75,,,75,,19,,,,19,SC   ,Small Community,5/28/2015,SAN LUIS OBISPO,,#N/A,D1   ,Distribution Operator Level 1
59,CA1500543,AGAPE MUTUAL WATER SYSTEM,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,42,,,42,,,,,16,16,SC   ,Small Community,6/10/2015,BAKERSFIELD,,#N/A,D1   ,Distribution Operator Level 1
60,CA3110012,AGATE BAY WATER COMPANY,PLACER,C,Community,C   ,Community,A,ACTIVE,P,Private,SW ,Surface Water,2500,,,2500,,580,,,,580,SC   ,Small Community,9/17/2015,CARNELIAN BAY,T2   ,Treatment Operator Level 2,D2   ,Distribution Operator Level 2
61,CA1500518,AGBAYANI VILLAGE WATER SYSTEM,KERN,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,26,,,26,,2,,,,2,SC   ,Small Community,10/13/2015,DELANO,,#N/A,D1   ,Distribution Operator Level 1
62,CA2000866,AGRILAND FARMING CO INC,MADERA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,60,,60,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,3/22/2017,CHOWCHILLA,,#N/A,D1   ,Distribution Operator Level 1
63,CA3700846,AGUA CALIENTE COUNTY PARK,SAN DIEGO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,,400,400,,141,,,,141,N1   ,Transient-Noncommunity Water System,5/13/2015,JULIAN,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
64,CA1900768,AGUA DULCE WATER SYSTEM,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,90,90,,3,,,,3,N1   ,Transient-Noncommunity Water System,11/1/2016,,,#N/A,D1   ,Distribution Operator Level 1
65,CA1909646,AGUA DULCE WINERY,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,113,113,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,8/23/2016,AGUA DULCE,,#N/A,D1   ,Distribution Operator Level 1
66,CA1900061,AGUA DULCE WOMEN'S CLUB,LOS ANGELES,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,1,,,,1,,#N/A,1/11/2018,,,#N/A,,#N/A
67,CA4400656,AGUA PUERCA MUTUAL WATER ASSN (SSWS),SANTA CRUZ,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,17,17,,5,,,,5,,#N/A,,,,#N/A,NR   ,Not Required
68,CA2702393,AGUAJITO RD WTR SYS,MONTEREY,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,,,,14,,,,14,XS   ,State Small Water System,,CARMEL,,#N/A,NR   ,Not Required
69,CA3302033,AGUILERA RANCH,RIVERSIDE,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,   ,#N/A,,24,,24,,10,,,,10,XS   ,State Small Water System,,THERMAL,,#N/A,,#N/A
70,CA2000537,AHWAHNEE QUIK MART,MADERA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,,35,35,,1,,,,1,,#N/A,6/9/2010,AHWAHNEE,,#N/A,NR   ,Not Required
71,CA3302079,AIDA AGUIRRE,RIVERSIDE,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,50,,,50,,18,,,,18,SC   ,Small Community,2/1/2017,THERMAL,,#N/A,D1   ,Distribution Operator Level 1
72,CA4500230,AIRPORT COMMERCIAL PLAZA,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,25,,25,,6,,,,6,SP   ,NonTransient-NonCommunity Water System,11/3/2014,REDDING,,#N/A,D1   ,Distribution Operator Level 1
73,CA4500274,AIRPORT INDUSTRIAL PARK,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,90,,90,,21,,,,21,SP   ,NonTransient-NonCommunity Water System,10/24/2014,REDDING,,#N/A,D1   ,Distribution Operator Level 1
74,CA4500333,AIRPORT PLANET WATER,SHASTA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,81,100,181,,3,,,,3,N1   ,Transient-Noncommunity Water System,6/12/2017,REDDING,,#N/A,NR   ,Not Required
75,CA2400155,AKAL APARTMENTS,MERCED,NP,Non-Public,NP  ,Non-Public,A,ACTIVE,P,Private,GW ,Groundwater,,,24,24,,6,,,,6,XS   ,State Small Water System,,LIVINGSTON,,#N/A,,#N/A
76,CA5400810,AKAL TRAVEL PLAZA,TULARE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,200,200,,3,,,,3,N1   ,Transient-Noncommunity Water System,4/6/2017,DELANO,T2   ,Treatment Operator Level 2,D1   ,Distribution Operator Level 1
77,CA5401038,AKIN WATER CO,TULARE,C,Community,C   ,Community,A,ACTIVE,P,Private,GWP,Groundwater Purchased,86,,,86,,26,,,,26,SC   ,Small Community,5/3/2018,PORTERVILLE,,#N/A,D1   ,Distribution Operator Level 1
78,CA0900646,AL TAHOE ELEM/STMS (WATER SYS),EL DORADO,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,1300,,1300,,6,,,,6,SP   ,NonTransient-NonCommunity Water System,4/25/2013,SO LAKE TAHOE,,#N/A,D1   ,Distribution Operator Level 1
79,CA1400104,AL'S MOBILE HOME PARK,INYO,NP,Non-Public,SSWS,State Small Water Systems,A,ACTIVE,P,Private,GW ,Groundwater,,,20,20,,12,,,,12,,#N/A,,LONE PINE,,#N/A,NR   ,Not Required
80,CA0105020,ALAMEDA COUNTY FAIRGROUNDS,ALAMEDA,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,M,Mixed (Public/Private),GW ,Groundwater,,82,,82,,3,,,,3,SP   ,NonTransient-NonCommunity Water System,4/4/2017,PLEASANTON,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
81,CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,C,Community,C   ,Community,A,ACTIVE,L,Local,SW ,Surface Water,340000,,,340000,,80871,,,,80871,C1   ,Large Water System,11/30/2017,FREMONT,T5   ,Treatment Operator Level 5,D5   ,Distribution Operator Level 5
82,CA0110016,ALAMEDA POINT,ALAMEDA,C,Community,C   ,Community,A,ACTIVE,L,Local,SWP,Surface Water Purchased,750,,,750,,349,,,,349,SC   ,Small Community,12/1/2017,ALAMEDA,,#N/A,D1   ,Distribution Operator Level 1
83,CA3301989,ALAMO DISCOUNT STORE,RIVERSIDE,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,100,100,,1,,,,1,N1   ,Transient-Noncommunity Water System,1/10/2018,THERMAL,,#N/A,NR   ,Not Required
84,CA2702572,ALBA WS,MONTEREY,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,10,30,40,,4,,,,4,SP   ,NonTransient-NonCommunity Water System,10/19/2016,SALINAS,,#N/A,D1   ,Distribution Operator Level 1
85,CA1900707,ALBERT EINSTEIN ACADEMY OF LEARNING,LOS ANGELES,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,ACTIVE,L,Local,GW ,Groundwater,,450,,450,,6,,,,6,SP   ,NonTransient-NonCommunity Water System,11/2/2017,AGUA DULCE,,#N/A,D1   ,Distribution Operator Level 1
86,CA2300512,ALBION FIELD STATION,MENDOCINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,2,,150,152,,26,,,,26,N1   ,Transient-Noncommunity Water System,3/20/2018,ALBION,,#N/A,,#N/A
87,CA2300502,ALBION MUTUAL WATER COMPANY,MENDOCINO,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,40,,,40,,,3,,24,27,DAVCS,Disadvantaged Small Community Water System,6/22/2016,ALBION,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
88,CA2300619,ALBION RIVER CAMPGROUND,MENDOCINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GU ,Groundwater UDI Surface Water,,,400,400,,121,,,,121,N1   ,Transient-Noncommunity Water System,12/8/2016,ALBION,T1   ,Treatment Operator Level 1,D1   ,Distribution Operator Level 1
89,CA2300811,ALBION RIVER INN,MENDOCINO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,53,53,,,1,,,1,N1   ,Transient-Noncommunity Water System,6/22/2016,ALBION,TD   ,Treatment or distribution operator of any grade,D1   ,Distribution Operator Level 1
90,CA2710001,ALCO WATER SERVICE,MONTEREY,C,Community,C   ,Community,A,ACTIVE,P,Private,GW ,Groundwater,29179,,,29179,,8871,,,,8871,C1   ,Large Water System,9/11/2015,SALINAS,T1   ,Treatment Operator Level 1,D3   ,Distribution Operator Level 3
91,CA5800009,ALCOUFFE COMMUNITY CENTER,YUBA,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,50,50,,2,,,,2,N1   ,Transient-Noncommunity Water System,10/21/2014,OREGON HOUSE,,#N/A,NR   ,Not Required
92,CA0900551,ALDER INN,EL DORADO,NC,Transient Non-Community,NC  ,Transient Non-Community,A,ACTIVE,P,Private,GW ,Groundwater,,,60,60,,3,,,,3,N1   ,Transient-Noncommunity Water System,6/25/2014,SOUTH LAKE TAHOE,,#N/A,NR   ,Not Required
